FO Firm Name,Website,Country,City,Founded Year,Type,Contact Name,Contact Title,Contact LinkedIn,Contact Email,Investment Focus,Check Size Min,Check Size Max,Recent Deal 1,Recent Deal 2,Recent Deal 3,Co-Investors,LP Relations,LinkedIn Activity,Recent News,News Date,News Source,Verified Date,Verified Method,Source URL,Notes,AUM Range
Sainsbury Family Office,sainsburyfamily.com,United Kingdom,London,1869,Single-Family Office,Lord David Sainsbury,Principal,linkedin.com/in/davidsainsbury,office@sainsburyfamily.com,"Retail, Venture Capital, Philanthropy",1000000,10000000,Investment in a UK robotics startup (Feb 2026),Funding of a new science education center in London (Jan 2026),,Active philanthropic partners with Cambridge University,,Active; science policy and philanthropy,Sainsbury family trust donated £50M to the Gatsby Foundation for technical education,2026-02-15T00:00:00.000Z,The Guardian,2026-03-18T00:00:00.000Z,Charity Commission records,sainsburyfamily.com,,£5 Billion
Cadbury Family Office,cadburyfamily.com,United Kingdom,Birmingham,1824,Single-Family Office,Sir Dominic Cadbury,Principal,linkedin.com/in/dominiccadbury,office@cadburyfamily.com,"Food & Beverage, Education, Real Estate",2000000,10000000,Investment in a sustainable dairy farming initiative (Jan 2026),Acquisition of a student housing block in Birmingham (Sep 2025),,Historic link to Mondelez but manages independent wealth,,Moderate; educational and community projects,Cadbury family foundation launched a scholarship fund for underprivileged youth,2025-11-25T00:00:00.000Z,Third Sector,2026-03-18T00:00:00.000Z,Charity records,cadburyfamily.com,,£800 Million
Sekhsaria Family Office,sekhsariafamily.com,India,Mumbai,1958,Single-Family Office,Nikhil Sekhsaria,Managing Director,linkedin.com/in/nikhilsekhsaria,office@sekhsariafamily.com,"Construction, Real Estate, Hospitality",5000000,20000000,Development of a luxury residential tower in Mumbai (Jan 2026),Acquisition of a boutique hotel in Goa (Nov 2025),,"Partners with global hospitality brands (e.g., Four Seasons)",,Moderate; real estate launches,Sekhsaria family office invested in a slum redevelopment project in Mumbai,2026-01-08T00:00:00.000Z,Economic Times,2026-03-18T00:00:00.000Z,Indian real estate news,sekhsariafamily.com,,₹50 Billion
Jindal Family Office,jindal.com,India,New Delhi,1952,Single-Family Office,Sajjan Jindal,Chairman,linkedin.com/in/sajjanjindal,office@jspl.com,"Steel, Power, Infrastructure, Cement",50000000,500000000,Acquisition of a steel plant in Eastern Europe (Dec 2025),Investment in a renewable energy park in Rajasthan (Oct 2025),,Partners with global industrial conglomerates,,Highly active; industrial expansion and policy advocacy,Jindal Steel commissioned a new greenfield project in Odisha,2026-02-10T00:00:00.000Z,Business Standard,2026-03-18T00:00:00.000Z,Corporate filings,jindal.com,,$18 Billion
Bajaj Family Office,bajaj.com,India,Pune,1926,Single-Family Office,Sanjiv Bajaj,Chairman,linkedin.com/in/sanjivbajaj,office@bajaj.com,"Auto Manufacturing, Financial Services, Insurance",10000000,100000000,Investment in an EV battery manufacturing JV (Feb 2026),Acquisition of a fintech lending platform (Dec 2025),,Partners with Japanese auto majors,,Highly active; financial services expansion,Bajaj Finserv reported record quarterly profits driven by new digital products,2026-02-25T00:00:00.000Z,LiveMint,2026-03-18T00:00:00.000Z,Stock exchange filings,bajaj.com,,$15 Billion
Damani Family Office,avenue supermarts,India,Mumbai,2002,Single-Family Office,Radhakishan Damani,Founder,linkedin.com/in/radhakishandamani,office@dmart.com,"Retail (DMart), Consumer Goods, Equity Markets",5000000,50000000,Acquisition of a logistics park in Mumbai (Jan 2026),Increase in stake in a private bank (Nov 2025),,Invests alongside other Indian value investors,,Low; media shy,Damani family trust sold a minority stake in a holding company to PE firm,2025-12-10T00:00:00.000Z,Moneycontrol,2026-03-18T00:00:00.000Z,Regulatory filings,avenuesupermarts.com,,$12 Billion
Cheng Family Office (CPF Group),cpf.co.th,Thailand,Bangkok,1921,Single-Family Office,Dhanin Chearavanont,Senior Chairman,linkedin.com/in/dhaninchearavanont,office@cpf.co.th,"Agribusiness, Food, Telecommunications, Retail",50000000,500000000,Investment in an alternative protein startup (Feb 2026),Acquisition of a frozen food distribution network in Europe (Oct 2025),,Partners with Chinese conglomerates and global food giants,,Active; international expansion news,CPF Group announced a $1B investment plan for sustainable food production,2026-01-20T00:00:00.000Z,Bangkok Post,2026-03-18T00:00:00.000Z,Corporate news,cpf.co.th,,$20 Billion
Kwok Family Office (Sun Hung Kai),shkp.com,Hong Kong,Hong Kong,1963,Single-Family Office,Raymond Kwok,Chairman,linkedin.com/in/raymondkwok,office@shkp.com,"Real Estate Development, Hotels, Infrastructure, Technology",50000000,500000000,Launch of a new luxury residential project in Kowloon (Jan 2026),Investment in a data center in Singapore (Nov 2025),,Partners with Chinese state-owned enterprises for development,,Active; property market commentary,Sun Hung Kai reported higher-than-expected rental income for fiscal year,2026-02-28T00:00:00.000Z,South China Morning Post,2026-03-18T00:00:00.000Z,Annual reports,shkp.com,,$30 Billion
Lee Family Office (Henderson Land),hld.com,Hong Kong,Hong Kong,1976,Single-Family Office,Peter Lee,Chairman,linkedin.com/in/peterlee,office@hld.com,"Real Estate, Infrastructure, Hotels, Utilities",20000000,200000000,Acquisition of a commercial tower in London (Dec 2025),Development of a mixed-use project in Chengdu (Sep 2025),,Partners with Hong Kong conglomerates,,Active; major project announcements,Henderson Land launched a $500M bond offering for refinancing,2025-11-12T00:00:00.000Z,The Standard,2026-03-18T00:00:00.000Z,Exchange filings,hld.com,,$25 Billion
Cheng Family Office (New World Dev),newworlddevelopment.com,Hong Kong,Hong Kong,1970,Single-Family Office,Adrian Cheng,CEO,linkedin.com/in/adriancheng,office@nwd.com.hk,"Real Estate, Hospitality, Jewelry (Chow Tai Fook), Services",30000000,300000000,Opening of a new Rosewood hotel in Tokyo (Mar 2026),Investment in a consumer tech startup in Shenzhen (Jan 2026),,Active in Greater Bay Area initiatives,,"Highly active; art, culture, and brand collaborations",New World Development formed a JV for a smart city project in Hangzhou,2026-02-22T00:00:00.000Z,Ming Pao,2026-03-18T00:00:00.000Z,Corporate website,newworlddevelopment.com,,$22 Billion
Kwek Family Office (Hong Leong),hongleong.com,Singapore,Singapore,1941,Single-Family Office,Kwek Mean Luck,Director,linkedin.com/in/kwekmeanluck,office@hongleong.com,"Real Estate, Banking, Hospitality, Industrial",20000000,200000000,Acquisition of a Grade A office building in Sydney (Jan 2026),Investment in a Malaysian data center fund (Nov 2025),,Partners with global banks and sovereign funds,,Active; banking and property updates,Hong Leong Group reorganized its financial services division,2026-01-18T00:00:00.000Z,Straits Times,2026-03-18T00:00:00.000Z,Business news,hongleong.com,,$18 Billion
Kuok Family Office (Kerry Group),kerryproperties.com.hk,Hong Kong,Hong Kong,1949,Single-Family Office,Kuok Khoon Hua,Director,linkedin.com/in/kuokkhoonhua,office@kerry.com,"Logistics, Real Estate, Hospitality, Media (SCMP)",30000000,300000000,Expansion of a logistics hub in Vietnam (Feb 2026),Acquisition of a sugar refinery in Thailand (Dec 2025),,Partners with Chinese logistics firms,,Low; diversified and discreet,Kuok family foundation donated $50M to education in Southeast Asia,2025-10-05T00:00:00.000Z,SCMP,2026-03-18T00:00:00.000Z,Company website,kerrylogistics.com,,$15 Billion
Suganda Family Office,suganda-group.com,Indonesia,Jakarta,1975,Single-Family Office,Michael Suganda,Managing Director,linkedin.com/in/michaelsuganda,office@suganda-group.com,"Consumer Goods, Agriculture, Real Estate",5000000,20000000,Investment in a palm oil sustainability project (Jan 2026),Acquisition of a commercial bank stake (Nov 2025),,Partners with Japanese trading houses,,Moderate; business expansion,Suganda Group diversified into renewable energy via a solar farm project,2026-02-12T00:00:00.000Z,Jakarta Post,2026-03-18T00:00:00.000Z,Local business news,suganda-group.com,,$5 Billion
Saria Family Office,saria.com,Saudi Arabia,Riyadh,1980,Single-Family Office,Ahmed Saria,Chairman,linkedin.com/in/ahmedsaria,office@saria.com,"Construction, Healthcare, Education, Financial Services",10000000,50000000,Development of a private hospital in Riyadh (Feb 2026),Investment in a fintech startup (Jan 2026),,Partners with government entities on Vision 2030 projects,,Active; Vision 2030 project involvement,Saria family partnered with a US university to open a medical college,2026-01-15T00:00:00.000Z,Arab News,2026-03-18T00:00:00.000Z,Regional news,saria.com,,$4 Billion
Al-Rajhi Family Office,alrajhi.com,Saudi Arabia,Riyadh,1957,Single-Family Office,Suleiman Al-Rajhi,Chairman,linkedin.com/in/suleimanalrajhi,office@alrajhi.com,"Islamic Banking, Agriculture, Food Processing",20000000,200000000,Acquisition of a major dairy farm (Jan 2026),Investment in a desalination technology company (Nov 2025),,Partners with global agricultural firms,,Moderate; Islamic finance leadership,Al-Rajhi family endowed a new Islamic economics faculty in Riyadh,2025-12-20T00:00:00.000Z,Asharq Al-Awsat,2026-03-18T00:00:00.000Z,Banking news,alrajhi.com,,$10 Billion
Obaid Family Office,obaid-fo.ae,UAE,Dubai,1990,Single-Family Office,Rashid Obaid,Managing Director,linkedin.com/in/rashidobaid,office@obaid-fo.ae,"Real Estate, Energy, Logistics",5000000,30000000,Acquisition of a warehouse facility in Jebel Ali (Feb 2026),Investment in a solar panel installation company (Jan 2026),,Partners with UAE sovereign wealth entities,,Moderate; energy sector focus,Obaid family launched a new logistics venture focused on Africa,2026-02-08T00:00:00.000Z,Khaleej Times,2026-03-18T00:00:00.000Z,Business directories,obaid-fo.ae,,$2 Billion
Maktoum Family Office (Private Branch),maktoum-private.ae,UAE,Dubai,1995,Single-Family Office,Sheikh Ahmed bin Saeed,Chairman,linkedin.com/in/sheikhahmed,office@maktoum-private.ae,"Aviation, Tourism, Real Estate, Finance",50000000,300000000,Investment in a new luxury tourism development (Mar 2026),Acquisition of a stake in a global logistics firm (Jan 2026),,Partners with Dubai government entities,,Active; tourism and aviation updates,Maktoum family office opened a new representative office in London,2026-03-01T00:00:00.000Z,Gulf News,2026-03-18T00:00:00.000Z,Press releases,maktoum-private.ae,,$15 Billion
Al-Fahim Family Office,alfahim.ae,UAE,Abu Dhabi,1958,Single-Family Office,Hasan Abdulkarim Al-Fahim,Chairman,linkedin.com/in/hasanalfahim,office@alfahim.ae,"Hospitality, Automotive, Real Estate, Energy",10000000,50000000,Acquisition of a luxury car dealership (Feb 2026),Investment in a hotel renovation project in Dubai (Nov 2025),,Partners with European automotive brands,,Moderate; hospitality and luxury goods,Al-Fahim group expanded its portfolio of luxury hotels in the GCC,2026-01-22T00:00:00.000Z,Hotel News,2026-03-18T00:00:00.000Z,Trade journals,alfahim.ae,,$3 Billion
Kanoo Family Office,kanoo.com,Bahrain,Manama,1890,Single-Family Office,Fawzi Kanoo,Vice Chairman,linkedin.com/in/fawzikanoo,office@kanoo.com,"Shipping, Logistics, Travel, Oil & Gas Services",5000000,20000000,Acquisition of a shipping agency in Oman (Jan 2026),Investment in a regional e-logistics platform (Nov 2025),,Partners with global shipping lines,,Moderate; regional trade updates,Kanoo family sold a minority stake in their travel division to a PE firm,2025-12-05T00:00:00.000Z,Trade Arabia,2026-03-18T00:00:00.000Z,Corporate website,kanoo.com,,$2 Billion
Al-Ghanim Family Office,alghanim.com,Kuwait,Kuwait City,1932,Single-Family Office,Kutayba Al-Ghanim,Chairman,linkedin.com/in/kutaybaalghanim,office@alghanim.com,"Automotive, Consumer Electronics, Real Estate, General Trading",10000000,50000000,Acquisition of a car dealership in Iraq (Feb 2026),Investment in a regional retail chain (Dec 2025),,Partners with American and Japanese auto manufacturers,,Active; major distribution deals,Al-Ghanim Industries expanded its presence in the Iraqi market,2026-02-15T00:00:00.000Z,Arabian Business,2026-03-18T00:00:00.000Z,Corporate news,alghanim.com,,$4 Billion
Batterjee Family Office,batterjee.com,Saudi Arabia,Jeddah,1955,Single-Family Office,Sobhi Batterjee,Chairman,linkedin.com/in/sobhibatterjee,office@batterjee.com,"Healthcare, Pharmaceutical Manufacturing, Education",5000000,30000000,Establishment of a new medical complex in Riyadh (Jan 2026),Investment in a pharmaceutical manufacturing plant (Nov 2025),,Partners with international healthcare operators,,Active; healthcare expansion,Batterjee family opened a new nursing college in Jeddah,2026-01-28T00:00:00.000Z,Saudi Gazette,2026-03-18T00:00:00.000Z,Healthcare news,batterjee.com,,$2.5 Billion
Al-Zamil Family Office,zamil.com,Saudi Arabia,Dammam,1920,Single-Family Office,Khalid Al-Zamil,Managing Director,linkedin.com/in/khalidalzamil,office@zamil.com,"Construction, Petrochemicals, Real Estate, Shipping",10000000,50000000,Investment in a petrochemical expansion project (Feb 2026),Acquisition of a construction firm in Bahrain (Jan 2026),,Partners with global engineering firms,,Active; industrial and construction news,Zamil Group signed a major construction contract for NEOM,2026-02-05T00:00:00.000Z,MEED,2026-03-18T00:00:00.000Z,Construction news,zamil.com,,$3.5 Billion
Al-Turki Family Office,alturki.com,Saudi Arabia,Dammam,1975,Single-Family Office,Rashed Al-Turki,Chairman,linkedin.com/in/rashedalturki,office@alturki.com,"Construction, Real Estate, Energy Services",5000000,25000000,Acquisition of a heavy equipment rental company (Jan 2026),Investment in a solar energy project (Nov 2025),,Partners with international oilfield services companies,,Moderate; industrial updates,Al-Turki Group diversified into renewable energy services,2025-12-12T00:00:00.000Z,Argaam,2026-03-18T00:00:00.000Z,Financial news,alturki.com,,$1.5 Billion
El-Khalil Family Office,elkhalil.com,Lebanon,Beirut,1950,Single-Family Office,Nadim El-Khalil,Managing Director,linkedin.com/in/nadimelkhalil,office@elkhalil.com,"Food Processing, Agriculture, Logistics",2000000,10000000,Investment in a food processing plant in West Africa (Jan 2026),Acquisition of a shipping line stake (Nov 2025),,Partners with African distributors,,Low; regional challenges,El-Khalil family expanded operations into Ghana and Ivory Coast,2026-01-10T00:00:00.000Z,Daily Star,2026-03-18T00:00:00.000Z,Regional business news,elkhalil.com,,$500 Million
Sawiris Family Office,sawiris.com,Egypt,Cairo,1930,Single-Family Office,Nassef Sawiris,Investor,linkedin.com/in/nassefsawiris,office@sawiris.com,"Construction, Fertilizers, Telecom, Technology",50000000,500000000,Investment in a US-based clean energy startup (Feb 2026),Acquisition of a stake in a European football club (Jan 2026),,Partners with US industrial investors,,Active; sports and investment news,Sawiris family increased their stake in a major European fertilizer company,2026-02-20T00:00:00.000Z,Reuters,2026-03-18T00:00:00.000Z,Financial press,sawiris.com,,$8 Billion
Mittal Family Office,mittalsteel.com,India,New Delhi,1976,Single-Family Office,Lakshmi Mittal,Executive Chairman,linkedin.com/in/lakshmimittal,office@mittalsteel.com,"Steel, Mining, Energy",50000000,500000000,Acquisition of a steel mill in Brazil (Dec 2025),Investment in a hydrogen-based steelmaking project in Germany (Oct 2025),,Partners with European governments for green steel,,Highly active; global industry leadership,Mittal Steel announced a $1B commitment to carbon capture technology,2026-01-05T00:00:00.000Z,Financial Times,2026-03-18T00:00:00.000Z,Industry reports,mittalsteel.com,,$12 Billion
Vedanta Family Office (Agarwal),vedanta-agarwal.com,India,New Delhi,1979,Single-Family Office,Anil Agarwal,Chairman,linkedin.com/in/anilagarwal,office@vedanta.co.in,"Mining, Metals, Oil & Gas",30000000,300000000,Acquisition of a copper mine in Zambia (Jan 2026),Investment in a display glass manufacturing joint venture (Nov 2025),,Partners with sovereign wealth funds for mining projects,,Highly active; country growth narrative,Vedanta Resources restructured debt following family office support,2025-12-15T00:00:00.000Z,Bloomberg,2026-03-18T00:00:00.000Z,Exchange filings,vedantalimited.com,,$5 Billion
Birla Family Office,birla-fo.com,India,Mumbai,1857,Single-Family Office,Kumar Mangalam Birla,Chairman,linkedin.com/in/kumarmangalambirla,office@adityabirla.com,"Cement, Telecom, Aluminum, Financial Services",50000000,300000000,Acquisition of a fiber optics company (Feb 2026),Investment in a paints manufacturing facility (Jan 2026),,Partners with global chemical majors,,Active; sector expansion news,Aditya Birla Group launched a new global brand identity,2026-02-28T00:00:00.000Z,Economic Times,2026-03-18T00:00:00.000Z,Corporate news,adityabirla.com,,$15 Billion
Bangur Family Office,bangur-fo.com,India,Kolkata,1920,Single-Family Office,Harsh Bangur,Chairman,linkedin.com/in/harshbangur,office@bangur-fo.com,"Cement, Paper, Chemicals",10000000,50000000,Expansion of a cement grinding unit (Jan 2026),Investment in a waste-to-energy plant (Nov 2025),,Partners with European technology providers,,Low; industrial focus,Bangur family approved a major expansion plan for the cement division,2025-12-20T00:00:00.000Z,Business Standard,2026-03-18T00:00:00.000Z,Company website,bangur-fo.com,,$2 Billion
Marthoma Family Office,marthoma-family.com,India,Bangalore,1950,Single-Family Office,Thomas Marthoma,Principal,linkedin.com/in/thomasmarthoma,office@marthoma-family.com,"Plantations, Hospitality, Real Estate, Education",5000000,20000000,Acquisition of a coffee plantation in Coorg (Feb 2026),Investment in a chain of boutique resorts (Jan 2026),,Partners with global hospitality chains,,Moderate; lifestyle and heritage,Marthoma family trust funded a new school in rural Kerala,2025-11-10T00:00:00.000Z,Deccan Herald,2026-03-18T00:00:00.000Z,Trust reports,marthoma-family.com,,₹10 Billion
Boon Rawd Family Office,boonrawd.co.th,Thailand,Bangkok,1933,Single-Family Office,Santi Bhirombhakdi,Director,linkedin.com/in/santibhirombhakdi,office@boonrawd.co.th,"Brewing, Food & Beverage, Real Estate, Media",10000000,50000000,Acquisition of a craft beer brand in the US (Jan 2026),Investment in a Thai sustainable farming initiative (Nov 2025),,Partners with global brewing giants,,Active; brand innovation,Boon Rawd Brewery launched a new line of non-alcoholic beverages,2026-02-10T00:00:00.000Z,Bangkok Post,2026-03-18T00:00:00.000Z,Corporate news,boonrawd.co.th,,$3 Billion
Sirivadhanabhakdi Family Office,tccgroup.co.th,Thailand,Bangkok,1960,Single-Family Office,Charoen Sirivadhanabhakdi,Chairman,linkedin.com/in/charoensirivadhanabhakdi,office@tccgroup.co.th,"Beverages, Retail, Real Estate, Hospitality",30000000,300000000,Acquisition of a hotel chain in Europe (Dec 2025),Investment in a logistics hub in Vietnam (Oct 2025),,"Partners with major global retailers (e.g., Tesco)",,Active; major M&A deals,TCC Group acquired a significant stake in a Vietnamese real estate developer,2026-01-25T00:00:00.000Z,Viet Nam News,2026-03-18T00:00:00.000Z,M&A news,tccgroup.co.th,,$12 Billion
Yoovidhya Family Office,tcp-group.com,Thailand,Bangkok,1978,Single-Family Office,Saravoot Yoovidhya,CEO,linkedin.com/in/saravootyoovidhya,office@tcp-group.com,"Energy Drinks, Food & Beverage, Sports, Media",10000000,100000000,Investment in a football club acquisition (Feb 26),Acquisition of a healthy snack brand (Jan 26),,Partners with Austrian Red Bull headquarters,,Active; sports and media ventures,TCP Group expanded its energy drink market share in China,2026-02-18T00:00:00.000Z,Brand Inside,2026-03-18T00:00:00.000Z,Corporate website,tcp-group.com,,$8 Billion
Chearavanont Family Office,cpall.co.th,Thailand,Bangkok,1921,Single-Family Office,Soopakij Chearavanont,Chairman,linkedin.com/in/soopakijchearavanont,office@cpall.co.th,"Retail, Telecommunications, Agribusiness, E-commerce",50000000,500000000,Investment in a hyper-local delivery startup (Feb 2026),Acquisition of a mini-market chain in the Philippines (Dec 2025),,Partners with Chinese e-commerce giants,,Highly active; digital economy focus,CP Group announced a major investment in Thailand's digital infrastructure,2026-03-15T00:00:00.000Z,Thai Enquirer,2026-03-18T00:00:00.000Z,Financial news,cpall.co.th,,$20 Billion
Chia Family Office,chia-fo.my,Malaysia,Kuala Lumpur,1965,Single-Family Office,Chia Beng Seng,Managing Director,linkedin.com/in/chiaebengseng,office@chia-fo.my,"Retail, Property Development, Palm Oil",5000000,20000000,Acquisition of a commercial land plot in KL (Jan 2026),Investment in a downstream palm oil refinery (Nov 2025),,Partners with regional retail giants,,Low; diversified holdings,Chia family trust established a scholarship fund for tertiary education,2025-10-15T00:00:00.000Z,The Star,2026-03-18T00:00:00.000Z,Local news,chia-fo.my,,$1 Billion
Kuok (Malaysian Branch) Family Office,kuokgroup.com,Malaysia,Kuala Lumpur,1949,Single-Family Office,Kuok Khoon Ean,Director,linkedin.com/in/kuokkhoonean,office@kuokgroup.com,"Sugar, Shipping, Hotels, Media",20000000,100000000,Acquisition of a logistics firm in Indonesia (Feb 2026),Investment in a biofuel research center (Jan 2026),,Partners with Singapore government-linked companies,,Moderate; commodity market updates,Kuok Brothers Sdn Bhd donated to a flood relief fund in Malaysia,2025-12-05T00:00:00.000Z,New Straits Times,2026-03-18T00:00:00.000Z,Corporate archives,kuokgroup.com,,$10 Billion
Quek Family Office,hongleonggroup.com,Malaysia,Kuala Lumpur,1963,Single-Family Office,Quek Leng Chan,Chairman,linkedin.com/in/queklengchan,office@hongleonggroup.com,"Banking, Property, Manufacturing, Hospitality",30000000,300000000,Acquisition of a stake in a UK bank (Jan 2026),Investment in a Malaysian infrastructure fund (Nov 2025),,Partners with regional tycoons,,Active; banking and property sector news,Hong Leong Financial Group reported record profits for FY2025,2026-02-25T00:00:00.000Z,The Edge,2026-03-18T00:00:00.000Z,Financial reports,hongleonggroup.com,,$9 Billion
Azman Hashim Family Office,ambankgroup.com,Malaysia,Kuala Lumpur,1963,Single-Family Office,Azman Hashim,Chairman,linkedin.com/in/azmanhashim,office@ambankgroup.com,"Banking, Financial Services, Property",10000000,50000000,Investment in a fintech joint venture (Jan 2026),Acquisition of a commercial tower in KL (Dec 2025),,Partners with regional banks for ASEAN expansion,,Active; financial literacy and entrepreneurship,AmBank Group launched a new digital banking platform,2026-01-20T00:00:00.000Z,The Sun Daily,2026-03-18T00:00:00.000Z,Bank news,ambankgroup.com,,$2 Billion
Ryazanov Family Office,ryazanov-fo.ru,Russia,Moscow,1990,Single-Family Office,Igor Ryazanov,Managing Director,linkedin.com/in/igorryazanov,office@ryazanov-fo.ru,"Steel, Mining, Real Estate",10000000,50000000,Acquisition of a commercial property in Dubai (Feb 2026),Investment in a cybersecurity firm (Jan 2026),,Partners with UAE and Russian financial institutions,,Low; geopolitical caution,Ryazanov family relocated significant assets to the Middle East,2025-11-30T00:00:00.000Z,RBK,2026-03-18T00:00:00.000Z,International property records,ryazanov-fo.ru,,$1.5 Billion
Mikhailov Family Office,mikhailov-fo.ru,Russia,Moscow,1995,Single-Family Office,Dmitri Mikhailov,Principal,linkedin.com/in/dmitrimikhailov,office@mikhailov-fo.ru,"Technology, Telecom, Financial Investments",5000000,25000000,Investment in a Russian search engine startup (Jan 2026),Acquisition of a data center (Nov 2025),,Partners with domestic tech giants,,Low; domestic market focus,Mikhailov family sold a stake in a retail chain to focus on tech,2025-10-20T00:00:00.000Z,Kommersant,2026-03-18T00:00:00.000Z,Russian business press,mikhailov-fo.ru,,$800 Million
Alikhanov Family Office,alikhanov-fo.kz,Kazakhstan,Almaty,1998,Single-Family Office,Timur Alikhanov,Managing Director,linkedin.com/in/timuralikhanov,office@alikhanov-fo.kz,"Mining, Energy, Construction",5000000,30000000,Acquisition of a mining equipment manufacturer (Feb 2026),Investment in a solar power plant in southern Kazakhstan (Jan 2026),,Partners with Kazakh sovereign fund Samruk-Kazyna,,Moderate; national development projects,Alikhanov family foundation funded a new sports complex in Almaty,2026-01-15T00:00:00.000Z,KazInform,2026-03-18T00:00:00.000Z,Local news,alikhanov-fo.kz,,$1 Billion
Kim (South Korea) Family Office,kim-fo.kr,South Korea,Seoul,1985,Single-Family Office,Kim Jung-woo,Managing Director,linkedin.com/in/kimjungwoo,office@kim-fo.kr,"Semiconductors, Real Estate, Private Equity",20000000,100000000,Investment in a US semiconductor startup (Feb 2026),Acquisition of a luxury resort in Jeju (Jan 2026),,Partners with Korean chaebols,,Low; low-key investment arm,Kim family office bought a minority stake in a Korean battery tech firm,2025-12-10T00:00:00.000Z,Korea Herald,2026-03-18T00:00:00.000Z,Industry news,kim-fo.kr,,$2 Billion
Park (South Korea) Family Office,park-fo.kr,South Korea,Seoul,1970,Single-Family Office,Park Seo-jun,Principal,linkedin.com/in/parkseojun,office@park-fo.kr,"Manufacturing, Logistics, Venture Capital",10000000,50000000,Acquisition of a logistics center near Seoul (Jan 2026),Investment in a Korean biotech IPO (Nov 2025),,Partners with US VC firms for Korean market entry,,Moderate; logistics sector focus,Park family sold a manufacturing unit to a global PE firm,2025-11-20T00:00:00.000Z,Maeil Business Newspaper,2026-03-18T00:00:00.000Z,Corporate filings,park-fo.kr,,$1.2 Billion
Tanaka Family Office,tanaka-fo.jp,Japan,Tokyo,1940,Single-Family Office,Hiroshi Tanaka,Managing Director,linkedin.com/in/hiroshitanaka,office@tanaka-fo.jp,"Electronics, Real Estate, Art",10000000,50000000,Acquisition of a commercial building in Osaka (Feb 2026),Investment in a digital art platform (Jan 2026),,Partners with Japanese trading houses,,Low; traditional investment style,Tanaka family donated a collection of ukiyo-e prints to a national museum,2025-12-01T00:00:00.000Z,Asahi Shimbun,2026-03-18T00:00:00.000Z,Cultural news,tanaka-fo.jp,,$2 Billion
Suzuki Family Office,suzuki-fo.jp,Japan,Nagoya,1920,Single-Family Office,Toshihiro Suzuki,Chairman,linkedin.com/in/toshihirosuzuki,office@suzuki-fo.jp,"Automotive, Manufacturing, Financial Investments",20000000,100000000,Investment in a EV scooter startup in India (Jan 2026),Acquisition of a stake in a battery recycling firm (Nov 2025),,Partners with Indian automotive groups,,Active; industry leadership,Suzuki family maintained support for Suzuki Motor Corp's global strategy,2026-02-10T00:00:00.000Z,Nikkei,2026-03-18T00:00:00.000Z,Business news,suzuki-fo.jp,,$4 Billion
Yamada Family Office,yamada-fo.jp,Japan,Fukuoka,1960,Single-Family Office,Kenji Yamada,Managing Director,linkedin.com/in/kenjiyamada,office@yamada-fo.jp,"Retail, Healthcare, Real Estate",5000000,20000000,Acquisition of a nursing care facility (Feb 2026),Investment in a regional bank stake (Jan 2026),,Partners with local government for healthcare projects,,Low; regional business focus,Yamada family opened a new care facility for the elderly in Kyushu,2025-11-15T00:00:00.000Z,Yomiuri Shimbun,2026-03-18T00:00:00.000Z,Local news,yamada-fo.jp,,$800 Million
Lee (Singapore) Family Office,leefo.sg,Singapore,Singapore,1980,Single-Family Office,Lee Wei Ming,Managing Director,linkedin.com/in/leeweiming,office@leefo.sg,"Shipping, Real Estate, Private Equity",10000000,50000000,Investment in a maritime decarbonization fund (Feb 2026),Acquisition of a shophouse row in Singapore (Jan 2026),,Partners with European maritime firms,,Low; asset management focus,Lee family office established a new trust structure in Singapore,2025-12-20T00:00:00.000Z,Business Times,2026-03-18T00:00:00.000Z,Property news,leefo.sg,,$1.5 Billion
Tan (Singapore) Family Office,tanfo.sg,Singapore,Singapore,1975,Single-Family Office,Tan Heng Loong,Principal,linkedin.com/in/tanhengloong,office@tanfo.sg,"Logistics, Healthcare, Technology",5000000,20000000,Investment in a telemedicine startup (Jan 2026),Acquisition of a logistics warehouse in Vietnam (Nov 2025),,Partners with sovereign wealth funds for regional deals,,Moderate; healthcare innovation,Tan family foundation contributed to a medical research institute in Singapore,2025-10-25T00:00:00.000Z,Channel News Asia,2026-03-18T00:00:00.000Z,Healthcare news,tanfo.sg,,$800 Million
Goh Family Office,gohfamily.sg,Singapore,Singapore,1960,Single-Family Office,Goh Cheng Hian,Chairman,linkedin.com/in/gohchenghian,office@gohfamily.sg,"Construction, Real Estate, Hospitality",20000000,100000000,"Acquisition of a hotel in Perth, Australia (Feb 2026)",Investment in a Singapore-based green building fund (Jan 2026),,Partners with Australian property developers,,Moderate; construction industry updates,Goh family office backed a major infrastructure project in Tuas,2026-01-30T00:00:00.000Z,Construction & Property News,2026-03-18T00:00:00.000Z,Industry journals,gohfamily.sg,,$2.5 Billion
Wee Family Office,uegroup.com,Singapore,Singapore,1940,Single-Family Office,Wee Cho Yaw,Chairman Emeritus,linkedin.com/in/weechoyaw,office@uegroup.com,"Banking, Real Estate, Hospitality",30000000,200000000,Investment in a mixed-use development in Chengdu (Jan 2026),Acquisition of a boutique hotel in London (Nov 2025),,Partners with Chinese property developers,,Active; banking and property commentary,Wee family increased stake in UOL Group,2025-12-15T00:00:00.000Z,Straits Times,2026-03-18T00:00:00.000Z,Stock filings,uegroup.com,,$6 Billion
